college_id,university_id,name,dean,established_year
1,3955,Lake Yvetteberg College,Michael Robles,1939
2,2239,Cynthiashire College,Sarah Barry,1926
3,1900,West Kimberly College,Troy Green,1910
4,1745,South Steven College,Joseph Chapman,2015
5,630,East Cathy College,Matthew Martin,1939
6,4828,East Alex College,Stephen Mora,1916
7,766,Port Abigail College,Christine Berg,1983
8,3054,Christineberg College,Connie Charles,1973
9,3398,Jonathanchester College,Troy Mendoza,2016
10,1349,Bradyland College,Gregory Stephenson,2000
11,4656,South Brian College,David Wall,1977
12,1314,West Michaelfort College,Arthur Wilson,1971
13,2692,Joneshaven College,Anthony Mccarthy,2001
14,4652,New Vanessa College,Alyssa Stewart,1917
15,2610,West Kimberly College,Joshua Anderson,2015
16,4963,Kempstad College,Stacie Zamora,1993
17,4231,Anachester College,Nicole Johnson,1924
18,4302,South Tarafort College,Derrick Hayes,1955
19,2075,Hernandezchester College,Scott Guzman,1995
20,3983,Tamitown College,Ryan Shepherd,1965
21,4527,Lake Anna College,Denise Smith,1960
22,118,Tabithaport College,Luis Vargas,1974
23,2843,North Leslieview College,Valerie Barker,1929
24,1852,West Cassandra College,Danielle Anderson,1930
25,2175,New Jimmy College,Sara Price,2008
26,2356,South Peterstad College,Margaret Lang,1941
27,1616,Lake John College,Darren Peters,2016
28,4964,Scottborough College,Johnathan Russell,1901
29,253,Amyberg College,Richard George,1939
30,2239,West Jodi College,Meghan Savage,2023
31,1202,East Oscar College,Sarah Goodwin,1979
32,1037,Romerotown College,Michelle Wilson,1975
33,3467,Bennettborough College,Teresa Jones,1949
34,1650,South Michael College,Jennifer Maddox,1987
35,438,Lake Tina College,Patricia Kent,1935
36,131,Sandersborough College,Virginia Strickland,1926
37,4235,Charlesburgh College,Hannah Gordon,1998
38,4937,Lopezshire College,Benjamin Hurst,1911
39,4392,South Lynn College,Lisa Stevenson,1982
40,3235,Weberbury College,Jason Roman,1945
41,1029,Bruceside College,John Gonzales,1934
42,3899,Susanchester College,Madison Saunders,1959
43,3471,Jonathanborough College,Adrienne Griffith,1928
44,600,Carlsonshire College,David Waters,1949
45,1914,North Ana College,Jessica Finley,1901
46,3328,East Brandontown College,Jason Williams,1973
47,2780,West Mistyshire College,Jonathan Ryan,2020
48,3783,Robinsonmouth College,Valerie Shannon,1939
49,1200,Davidtown College,Mary Wagner,1943
50,3177,Knoxmouth College,Jenna Cameron,1978
51,725,East Crystal College,Heather Porter,1932
52,3104,West Shawnfurt College,Sara Williams,1934
53,3475,East Dawn College,Joseph Thomas,1934
54,4926,Brandyside College,Christopher Washington,2014
55,4615,Randallville College,Garrett Gonzalez,2003
56,3245,West Judy College,Joshua White,1988
57,3603,New Andrea College,Joshua Price,1918
58,2617,Shawnton College,Robert Marquez,1901
59,2361,Jeffreytown College,Mark Farrell,1988
60,221,North Jamieville College,Matthew Martin,1970
61,2764,West Robertfort College,Ashley Morgan,1949
62,3593,Lake Christopherborough College,Jennifer Vang,1935
63,4394,West Sara College,Dawn Perry,1997
64,687,West Luis College,Kaitlyn Rhodes,1956
65,433,South Michelle College,Sarah Christensen,1981
66,4200,Jenniferville College,Michael Le,2000
67,4786,West Amystad College,Benjamin Ayers,2014
68,3612,Jennifershire College,Bryce Hudson,1912
69,1709,Ariasport College,Suzanne Thomas,1928
70,4809,Garciaview College,Darlene Graham,1951
71,3512,Kimberlymouth College,Jonathan Black,2003
72,1185,West Joshua College,Nicholas Maddox,1919
73,1903,South Daniellemouth College,Francisco Smith,1995
74,2716,Woodland College,Michaela Ferrell,2021
75,1215,Lake Tammyburgh College,Kayla Walker,1936
76,4340,Jordanmouth College,Sara Fisher,1964
77,485,North Jamesstad College,Jessica Brown,1955
78,1515,Mitchellport College,Daisy Richards,1961
79,1401,Sonyachester College,Lauren Sullivan,1975
80,2750,Natashafurt College,Brenda Shepard,1990
81,1395,East Henry College,Peter Bryant,1961
82,1001,Salazarchester College,Mary Johnson,2021
83,898,Port Johnberg College,James Johnson,1942
84,4173,South Daniel College,Mary Hall,2000
85,1476,Lake Laura College,Benjamin Hall,1915
86,4821,West Karen College,Gary Garrett,1983
87,1011,East Tiffany College,Belinda Myers,1904
88,4566,Suetown College,Kelsey Benson,1961
89,2150,East Lauriemouth College,Gerald Boyd,1984
90,363,South Vincentfurt College,Adam Crosby,1966
91,333,Watsonmouth College,Ross Hanson,1926
92,1775,New Kylie College,Kristina Reese,1960
93,3126,North Aaron College,Anita Boyer,1930
94,4235,Jacksonberg College,Brittney Johnston,1902
95,56,Port Brettberg College,Rachael Reese,1983
96,639,New Jenniferfurt College,Nathan Hill,2023
97,2307,Port Cynthia College,Rachel Haynes,1902
98,1352,North Rachel College,Carlos Jones,1975
99,485,North Scott College,Jeremiah Martinez,1994
100,4971,East George College,Jacob Bell,1992
101,852,South Michael College,Andrew Koch,1951
102,4249,Port Sally College,Hannah David,1985
103,3712,Copelandtown College,Monica Martinez,1966
104,2623,Tylerburgh College,Sylvia Jones,1962
105,3258,North Nancychester College,Alex Howard,1950
106,2069,Kristenview College,Edwin Fisher,1903
107,4147,Morrisonmouth College,Jason Wright,1956
108,754,Sherryport College,Rebecca Estrada,1967
109,3501,South Chelsea College,Joshua Harrell,1908
110,1372,South Brian College,Tyler Alvarez,1903
111,4436,Jonathantown College,Sarah Pope,1952
112,800,Lake Phillip College,Kimberly Peterson,1916
113,3196,Janiceborough College,Andrea King,2024
114,3190,Leemouth College,Brandon Cannon,1907
115,33,West Brookeport College,Justin Harris,1996
116,1133,Barreratown College,Jennifer Grant,1961
117,4102,New Jeffrey College,Michael Wallace,1941
118,4035,Noahport College,Kristopher Alexander,1978
119,4859,North Jessica College,Stephanie Mitchell,1952
120,424,Lake Davidland College,Jon Long,2020
121,999,Lake Courtney College,Brooke Henderson,1974
122,3249,Ramirezport College,Jonathan Bowman,1948
123,3208,Robinsonside College,Michael Gonzalez,1928
124,2644,East Adam College,Christine Rose,1910
125,4890,Christopherbury College,Morgan Nichols,1943
126,4817,East Mark College,Miguel Mitchell,1972
127,4759,Douglasmouth College,Luis Compton,1969
128,3722,South Laura College,Alice Wong,1916
129,4417,East Randall College,Colin Miller,1930
130,3495,Port Kristin College,Roberto Cruz,1925
131,72,Keithfort College,Kyle Rodriguez,1923
132,4682,West Angelaburgh College,William Davis,1910
133,42,West Jacobmouth College,Jonathan Mendez,1912
134,1800,Gomezville College,Kimberly Levy,2009
135,2914,Donnabury College,Angela Hayes,1955
136,4904,Justintown College,Brad Palmer,1942
137,4028,Lake Justinbury College,Shaun Mcintosh,1986
138,3522,West Julia College,Jennifer Mcpherson,1945
139,2769,West Brianmouth College,James Brown,2014
140,2863,Garciaberg College,William Mcgee,1938
141,452,Lake Jeanetteborough College,Elizabeth Peterson,1964
142,4630,Gibsonburgh College,Cory Ross,1956
143,1068,Jonesville College,Mary Moss,1981
144,1037,Stephenfort College,Samuel Moreno,2008
145,63,Cindyview College,Michael Taylor,1907
146,3516,Petersonstad College,Marc Snyder,1912
147,1186,Monroestad College,David Riggs,1919
148,2685,North Carrie College,Paige Taylor,2015
149,2064,North Lauren College,Selena Phelps,1968
150,463,Jasonberg College,Christopher Brown,2016
151,2570,Port Jenniferberg College,Lauren Mccann,2016
152,3864,Michaelbury College,Lori Dickson,1945
153,2122,Nathanmouth College,Cody Freeman,1945
154,2001,South Allenstad College,Jesus Trevino,1972
155,4663,South Kevin College,Kimberly Higgins,1944
156,2449,Heathermouth College,Susan Harvey,2008
157,4600,Caldwellberg College,Jeffrey Wells,2007
