university_id,name,established_year,ranking,country,State,City
1,Michellemouth University,1960,776,Japan, South Dakota,West Angela
2,Hooverbury University,1920,1626,Brazil,Vermont,New Jesse
3,Pamelamouth University,2021,1764,India,Ohio,Annashire
4,Port Thomasville University,1994,1563,Canada,Tennessee,North Vanessa
5,Kevinton University,1980,1064,China,Iowa,North Crystalshire
6,South Jessicaberg University,1982,1363,Australia,Georgia,North Jesus
7,North Jennifer University,1949,1163,Australia,South Dakota,Louisport
8,South Christopher University,1941,354,China,Washington,South Veronicaland
9,South Diane University,1937,657,UK,Tennessee,Port Sandramouth
10,Lorettaborough University,1867,1547,France,Wisconsin,North Sarahbury
11,North Lisaville University,1990,1949,France,Delaware,Ericberg
12,East Jamesberg University,1917,1780,Australia,New York,Lake Mariachester
13,North Mark University,2006,1977,Australia,Virginia,Heathermouth
14,Michaelport University,2017,1972,India,Kentucky,Tiffanyborough
15,East Reneestad University,1954,132,India,Mississippi,Lake Jodyton
16,Michellefurt University,1877,147,Brazil,Utah,West Davidmouth
17,East Joseph University,2025,120,China,Wisconsin,Francofort
18,North Emilyport University,1966,1683,India,Michigan,East Kristinmouth
19,South Victoriaborough University,1975,1594,India,Montana,Gomezburgh
20,North Tammyhaven University,1871,1974,Japan,West Virginia,Garciahaven
21,Brownburgh University,1953,579,Brazil,Hawaii,Steinmouth
22,Natashastad University,1855,812,Brazil,Pennsylvania,Coxview
23,Johntown University,1970,1789,USA,Iowa,Crawfordfort
24,North Shelleymouth University,1990,464,USA,Florida,South Yeseniaview
25,Cummingston University,1896,721,France,Delaware,South Tylermouth
26,Port Angelastad University,1853,1294,Brazil,Maryland,East Diane
27,Joshuaville University,1954,1532,India,Pennsylvania,Howardhaven
28,Port Davidland University,1916,1785,China,Kentucky,Nunezborough
29,New Joseph University,1936,29,India,Minnesota,Watsonstad
30,Port Abigail University,1852,230,India,Colorado,Michelefurt
31,Torresmouth University,1923,1034,China,Michigan,South Michael
32,Halltown University,1900,958,Japan,New Mexico,New Michael
33,East Nicholasborough University,1899,1810,Australia,Colorado,Harrisborough
34,Connietown University,1892,922,USA,Ohio,West Lynn
35,South Elizabethmouth University,2011,1921,Canada,New Hampshire,Samanthamouth
36,New Kennethfurt University,1892,1194,China,New Jersey,North Kari
37,Paigechester University,1982,1723,UK,Pennsylvania,Amyberg
38,Braunshire University,1943,1555,Japan,California,New Jessica
39,East Derek University,1897,402,Brazil,Massachusetts,Johnsonhaven
40,Jonathanview University,1924,444,China,Alabama,Lewisbury
41,South Ashley University,2013,700,Germany,Maine,South Bradleymouth
42,Jacksonshire University,1884,1967,Brazil,Arkansas,West Matthewfort
43,Webstershire University,1863,1051,UK,Rhode Island,North Tiffany
44,Marksfurt University,1973,1179,Germany,Oregon,New Katie
45,North Brian University,1974,566,China,Alaska,East Ashleystad
46,Ramseyland University,1992,1076,Australia,New Hampshire,South Mark
47,South David University,1986,717,Canada,Missouri,Jessicamouth
48,South Christinaville University,1979,1552,Australia,West Virginia,Lake Travisberg
49,Jenniferside University,1878,524,Japan,New Jersey,Port David
50,Ruthview University,1906,893,India,Alabama,East Jameshaven
51,Lake David University,1873,1036,France,Kansas,South Patricia
52,East Ryanfurt University,1998,709,USA,Texas,North Christophermouth
53,East Scottbury University,1926,1153,Australia,Mississippi,West Debra
54,Williamberg University,1943,1288,France,Illinois,West Pennyview
55,North Victorview University,2008,544,Brazil,Tennessee,West Jason
56,Sandersland University,1850,304,USA,South Dakota,East Melissabury
57,Bobbymouth University,1992,223,Germany,Florida,Davidtown
58,East Scott University,1941,68,Australia,Iowa,South Lisaburgh
59,South Mark University,1960,1920,Brazil,Hawaii,North Christopher
60,Lake Ryan University,1950,841,Brazil,Oregon,Austinbury
61,Lopezhaven University,1895,932,USA,New Hampshire,New Jillfurt
62,East Marthabury University,1987,148,Germany,Alabama,South Philip
63,Lake Shane University,1874,633,Japan,Tennessee,West Andrew
64,Carrilloberg University,1994,1609,Canada,Alabama,North Erin
65,Floresbury University,1910,1855,UK,West Virginia,Weavermouth
66,Lake John University,1950,787,Australia,Connecticut,Rodriguezmouth
67,West Nicoleburgh University,1982,1250,France,Delaware,Lindseymouth
68,Jamesport University,1945,722,USA,North Carolina,South Emilyport
69,North Jose University,2002,1622,Japan,Nevada,Lake Patrick
70,Lake Christineshire University,1851,230,Australia,New Mexico,Desireeside
71,West Erikmouth University,1967,502,USA,Hawaii,East Sarah
72,North Reginafort University,1915,853,France,Wyoming,New Roberttown
73,Scottberg University,1974,1017,Australia,Alaska,South Shane
74,Aaronmouth University,2021,935,USA,Kansas,East Tami
75,Phillipton University,2011,623,UK,Nebraska,Arthurfort
76,New Laurachester University,1956,1623,China,Louisiana,Barkershire
77,Davidborough University,1890,1081,Germany,Indiana,South Linda
78,Jamesbury University,1873,1917,USA,Kentucky,Hortonland
79,Parksville University,1912,68,France,South Dakota,North Anthonybury
80,Atkinsfurt University,1929,1219,China,Alaska,Christophershire
81,South Joshuaburgh University,1964,799,UK,Connecticut,Valerieton
82,Henryborough University,1991,900,Brazil,Kansas,Pettyfurt
83,Shannonburgh University,2013,412,China,New Hampshire,Gonzalezbury
84,Port Kathrynberg University,1949,448,Japan,Nevada,Port George
85,Shannonbury University,1981,1888,USA,South Carolina,Deckerview
86,New Kellyview University,1998,1836,USA,Oklahoma,Lake Lindsay
87,Sherryfort University,1984,1043,Brazil,Kentucky,Ramoshaven
88,West Jessicashire University,1924,71,UK,West Virginia,Lake Danielleville
89,South Robert University,1899,633,Australia,South Dakota,Lake Scott
90,South Robert University,1865,808,USA,Virginia,Shawnmouth
91,Lake Ericmouth University,1936,359,Canada,Maryland,Crawfordburgh
92,Deborahside University,1976,1339,UK,Arkansas,Lake Crystal
93,West Jacobhaven University,1935,545,France,Montana,New Michelleville
94,Tinaberg University,1930,592,Japan,Hawaii,East Zacharyfort
95,Anthonyhaven University,1905,332,China,North Carolina,North Sean
96,Castillohaven University,1967,1130,Canada,South Carolina,Ryanview
97,Johnsonton University,1945,1829,USA,Nebraska,Port Jordan
98,Michelleland University,1893,1480,Germany,Kentucky,Patrickmouth
99,South Jamesland University,1894,55,UK,Tennessee,West Joelmouth
100,New Tammyshire University,1914,722,India,Iowa,Port Eric
101,Carolville University,1919,1693,China,Connecticut,East Williamfurt
102,Morrisfort University,1915,380,USA,Arizona,South Robert
103,South Mikemouth University,1900,1806,Canada,Oklahoma,Brendaview
104,Port Cole University,2006,96,USA,Colorado,North Ryanfurt
105,Martinport University,1945,1533,USA,Oregon,Edwardston
106,Snyderville University,1960,1744,France,Hawaii,South Lindsayville
107,East Jennifer University,1949,228,France,Missouri,Danielfurt
108,Millerview University,2002,965,Brazil,Oregon,South Michaelview
109,Thompsonstad University,1922,1786,Japan,Arkansas,Chapmanfurt
110,Haneyport University,1894,1507,India,Pennsylvania,West Evanfurt
111,North Alicia University,2016,1024,France,Arkansas,Port Leslie
112,Phillipstown University,1895,1854,UK,Michigan,Lake Matthew
113,Hughesland University,1935,1029,France,Texas,West Patrick
114,North Meagan University,1953,1151,USA,Rhode Island,Lake Peterville
115,North Maryfort University,1932,1062,UK,Alabama,Josephmouth
116,East Herbertfort University,2010,318,Germany,Mississippi,North John
117,Martinton University,1861,1580,China,Pennsylvania,West Danborough
118,New Courtney University,1941,1329,Canada,Illinois,South William
119,Robertton University,1874,1717,UK,Delaware,Lake Wayneburgh
120,Pedrochester University,1960,683,Japan,New Jersey,Cannontown
121,South Richardville University,1928,1101,Brazil,Wyoming,Kimberlyland
122,Anthonyfurt University,1874,1650,France,South Dakota,West Steven
123,East Brittanyshire University,1909,454,Australia,Tennessee,New Hannah
124,Annamouth University,1975,1973,Australia,Wisconsin,Millermouth
125,South Thomas University,1922,1404,Australia,Alabama,Lake Janice
126,North Kyleburgh University,1915,1328,UK,Arkansas,New Robert
127,Warnerton University,1950,1671,Japan,Hawaii,South Stephenfurt
128,Billyland University,1899,1426,Japan,Delaware,North Frank
129,Howardmouth University,1888,1652,China,Montana,Port Erikland
130,South Bryan University,1958,1072,UK,New Mexico,Markport
131,Websterview University,1902,1138,France,Kansas,Mileston
132,Rileyland University,1948,1872,France,Illinois,Michaelland
133,Port Gregory University,1896,738,China,West Virginia,Lake Randyside
134,Crosshaven University,1928,1372,Brazil,North Carolina,North Patricia
135,Smithville University,1872,1500,Canada,Wisconsin,North Amanda
136,Port Janice University,1916,273,UK,Idaho,New Donnaland
137,West Gabriel University,1864,679,USA,South Dakota,Deanton
138,North Anthony University,1956,1809,India,Michigan,Port Kendraborough
139,South Andreaburgh University,2022,1838,Australia,Maryland,West Catherine
140,Lisahaven University,1899,1846,France,Florida,New Shawn
141,East Anthonystad University,2012,50,Canada,New Mexico,Meganmouth
142,North Jennifershire University,1989,1853,China,Delaware,West Keith
143,Robinfurt University,1976,200,France,Wisconsin,South Tamaratown
144,Port Nicoleview University,2008,85,Brazil,Hawaii,Gibsonstad
145,North Brandonfurt University,2011,1243,India,California,Williamsstad
146,Alyssahaven University,1876,760,USA,Georgia,North Maria
147,West Haleyborough University,1996,1983,USA,Texas,Jarvisville
148,North Dawn University,1980,1639,UK,California,Fordhaven
149,Fosterfort University,2008,1235,Australia,Wisconsin,Mccormickburgh
150,West Donnaland University,1915,1987,India,Vermont,West Kevinport
151,Kristiemouth University,2014,166,France,Washington,Atkinsonstad
152,New Shannonchester University,2005,615,France,New Mexico,North Melissa
153,Amandashire University,2014,1345,Brazil,North Carolina,East Melindaside
154,New Cheyennetown University,1987,807,Canada,Indiana,Lewisview
155,New Rebecca University,1961,1440,Brazil,Rhode Island,Port Kenneth
156,Stacymouth University,1868,1009,Australia,Minnesota,Johnsonborough
157,Birdfort University,1949,1024,China,Minnesota,Ruthberg
158,South Shelley University,1879,1023,India,Florida,New John
159,Michaelshire University,2019,1537,France,Utah,Phamhaven
160,East Anna University,1937,1414,UK,Louisiana,New Kathy
161,Mariahberg University,1984,416,Japan,Illinois,Cookmouth
162,South Tony University,1961,1542,Germany,Washington,Wilsonton
163,West Matthew University,1994,1862,China,Kansas,Robertstad
164,Davidshire University,1876,370,Australia,Michigan,West Suzanneville
165,South Jennifer University,1916,1149,Canada,Connecticut,South Shelbyberg
166,Danielfort University,1976,1491,Japan,Louisiana,East Sarah
167,Linville University,2020,213,USA,Oregon,Lake Shawnport
168,South Marvinberg University,1862,1758,China,Arizona,Lake Brittany
169,Anthonyville University,1932,589,China,Tennessee,Geraldside
170,Fowlershire University,1923,1542,Brazil,Rhode Island,South Andrew
