course_id,dept_id,name,credits,description
1,756,Machine Learning,2,This is the Machine Learning course offered by department 756.
2,3364,Operating Systems,1,This is the Operating Systems course offered by department 3364.
3,428,Database Systems,3,This is the Database Systems course offered by department 428.
4,30,Macroeconomics,1,This is the Macroeconomics course offered by department 30.
5,1661,Machine Learning,5,This is the Machine Learning course offered by department 1661.
6,3438,Organic Chemistry,4,This is the Organic Chemistry course offered by department 3438.
7,4611,Organic Chemistry,4,This is the Organic Chemistry course offered by department 4611.
8,1877,Computer Networks,3,This is the Computer Networks course offered by department 1877.
9,40,Machine Learning,4,This is the Machine Learning course offered by department 40.
10,471,Financial Accounting,4,This is the Financial Accounting course offered by department 471.
11,1679,Cyber Security,4,This is the Cyber Security course offered by department 1679.
12,731,Data Structures,2,This is the Data Structures course offered by department 731.
13,773,Artificial Intelligence,3,This is the Artificial Intelligence course offered by department 773.
14,2369,Algorithms,5,This is the Algorithms course offered by department 2369.
15,2151,Organic Chemistry,1,This is the Organic Chemistry course offered by department 2151.
16,3099,Macroeconomics,2,This is the Macroeconomics course offered by department 3099.
17,4033,Data Structures,2,This is the Data Structures course offered by department 4033.
18,86,Computer Networks,5,This is the Computer Networks course offered by department 86.
19,2416,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 2416.
20,1775,Digital Marketing,1,This is the Digital Marketing course offered by department 1775.
21,4450,Physical Chemistry,2,This is the Physical Chemistry course offered by department 4450.
22,3418,Machine Learning,4,This is the Machine Learning course offered by department 3418.
23,1200,World History,4,This is the World History course offered by department 1200.
24,3926,English Literature,3,This is the English Literature course offered by department 3926.
25,2082,Physical Chemistry,1,This is the Physical Chemistry course offered by department 2082.
26,3814,English Literature,2,This is the English Literature course offered by department 3814.
27,3600,Calculus,2,This is the Calculus course offered by department 3600.
28,1599,Financial Accounting,5,This is the Financial Accounting course offered by department 1599.
29,2641,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 2641.
30,1887,Operating Systems,3,This is the Operating Systems course offered by department 1887.
31,1441,Introduction to Programming,5,This is the Introduction to Programming course offered by department 1441.
32,4717,Digital Marketing,4,This is the Digital Marketing course offered by department 4717.
33,2866,Macroeconomics,1,This is the Macroeconomics course offered by department 2866.
34,4317,Microeconomics,2,This is the Microeconomics course offered by department 4317.
35,2876,Operating Systems,5,This is the Operating Systems course offered by department 2876.
36,784,Software Engineering,3,This is the Software Engineering course offered by department 784.
37,2637,Cyber Security,5,This is the Cyber Security course offered by department 2637.
38,4357,Introduction to Programming,3,This is the Introduction to Programming course offered by department 4357.
39,411,Operating Systems,3,This is the Operating Systems course offered by department 411.
40,2225,World History,5,This is the World History course offered by department 2225.
41,2142,Software Engineering,1,This is the Software Engineering course offered by department 2142.
42,2743,Machine Learning,3,This is the Machine Learning course offered by department 2743.
43,864,Financial Accounting,3,This is the Financial Accounting course offered by department 864.
44,3465,Financial Accounting,1,This is the Financial Accounting course offered by department 3465.
45,2968,Database Systems,1,This is the Database Systems course offered by department 2968.
46,3686,Database Systems,2,This is the Database Systems course offered by department 3686.
47,4465,English Literature,4,This is the English Literature course offered by department 4465.
48,552,Organic Chemistry,2,This is the Organic Chemistry course offered by department 552.
49,4268,Artificial Intelligence,3,This is the Artificial Intelligence course offered by department 4268.
50,2815,Organic Chemistry,5,This is the Organic Chemistry course offered by department 2815.
51,2547,Linear Algebra,1,This is the Linear Algebra course offered by department 2547.
52,1726,Digital Marketing,1,This is the Digital Marketing course offered by department 1726.
53,4974,Algorithms,1,This is the Algorithms course offered by department 4974.
54,4853,Macroeconomics,1,This is the Macroeconomics course offered by department 4853.
55,1027,English Literature,1,This is the English Literature course offered by department 1027.
56,4677,Cyber Security,5,This is the Cyber Security course offered by department 4677.
57,2339,Database Systems,2,This is the Database Systems course offered by department 2339.
58,303,Database Systems,5,This is the Database Systems course offered by department 303.
59,3833,Microeconomics,2,This is the Microeconomics course offered by department 3833.
60,2995,Operating Systems,2,This is the Operating Systems course offered by department 2995.
61,3433,Microeconomics,1,This is the Microeconomics course offered by department 3433.
62,1516,Calculus,5,This is the Calculus course offered by department 1516.
63,4206,Financial Accounting,4,This is the Financial Accounting course offered by department 4206.
64,4446,Introduction to Programming,5,This is the Introduction to Programming course offered by department 4446.
65,3238,Artificial Intelligence,4,This is the Artificial Intelligence course offered by department 3238.
66,4576,Linear Algebra,3,This is the Linear Algebra course offered by department 4576.
67,4695,Digital Marketing,3,This is the Digital Marketing course offered by department 4695.
68,3735,Software Engineering,4,This is the Software Engineering course offered by department 3735.
69,2914,Financial Accounting,1,This is the Financial Accounting course offered by department 2914.
70,4702,Organic Chemistry,5,This is the Organic Chemistry course offered by department 4702.
71,3970,Linear Algebra,4,This is the Linear Algebra course offered by department 3970.
72,1897,Financial Accounting,2,This is the Financial Accounting course offered by department 1897.
73,3997,World History,4,This is the World History course offered by department 3997.
74,2177,Organic Chemistry,1,This is the Organic Chemistry course offered by department 2177.
75,1449,Financial Accounting,2,This is the Financial Accounting course offered by department 1449.
76,1056,Computer Networks,2,This is the Computer Networks course offered by department 1056.
77,2737,Calculus,3,This is the Calculus course offered by department 2737.
78,2141,Introduction to Programming,5,This is the Introduction to Programming course offered by department 2141.
79,327,Organic Chemistry,3,This is the Organic Chemistry course offered by department 327.
80,1495,Digital Marketing,4,This is the Digital Marketing course offered by department 1495.
81,4508,Calculus,1,This is the Calculus course offered by department 4508.
82,398,Microeconomics,3,This is the Microeconomics course offered by department 398.
83,3310,World History,5,This is the World History course offered by department 3310.
84,3258,Linear Algebra,1,This is the Linear Algebra course offered by department 3258.
85,1976,Computer Networks,2,This is the Computer Networks course offered by department 1976.
86,4176,Linear Algebra,3,This is the Linear Algebra course offered by department 4176.
87,1742,Calculus,1,This is the Calculus course offered by department 1742.
88,1047,Machine Learning,2,This is the Machine Learning course offered by department 1047.
89,727,Database Systems,4,This is the Database Systems course offered by department 727.
90,2316,Machine Learning,4,This is the Machine Learning course offered by department 2316.
91,4932,Data Structures,3,This is the Data Structures course offered by department 4932.
92,416,Introduction to Programming,5,This is the Introduction to Programming course offered by department 416.
93,3063,Cyber Security,3,This is the Cyber Security course offered by department 3063.
94,2785,Physical Chemistry,5,This is the Physical Chemistry course offered by department 2785.
95,1801,Macroeconomics,5,This is the Macroeconomics course offered by department 1801.
96,4100,Artificial Intelligence,4,This is the Artificial Intelligence course offered by department 4100.
97,807,Digital Marketing,2,This is the Digital Marketing course offered by department 807.
98,3052,Financial Accounting,5,This is the Financial Accounting course offered by department 3052.
99,998,World History,4,This is the World History course offered by department 998.
100,4360,Introduction to Programming,3,This is the Introduction to Programming course offered by department 4360.
101,1585,Software Engineering,3,This is the Software Engineering course offered by department 1585.
102,4345,Physical Chemistry,2,This is the Physical Chemistry course offered by department 4345.
103,3493,Software Engineering,3,This is the Software Engineering course offered by department 3493.
104,4672,Machine Learning,1,This is the Machine Learning course offered by department 4672.
105,225,World History,1,This is the World History course offered by department 225.
106,2582,Physical Chemistry,5,This is the Physical Chemistry course offered by department 2582.
107,582,Calculus,1,This is the Calculus course offered by department 582.
108,4110,Linear Algebra,2,This is the Linear Algebra course offered by department 4110.
109,1553,Digital Marketing,1,This is the Digital Marketing course offered by department 1553.
110,1985,Linear Algebra,5,This is the Linear Algebra course offered by department 1985.
111,266,Physical Chemistry,4,This is the Physical Chemistry course offered by department 266.
112,4678,Operating Systems,5,This is the Operating Systems course offered by department 4678.
113,4020,Calculus,1,This is the Calculus course offered by department 4020.
114,536,Digital Marketing,4,This is the Digital Marketing course offered by department 536.
115,3336,Database Systems,3,This is the Database Systems course offered by department 3336.
116,3046,Algorithms,4,This is the Algorithms course offered by department 3046.
117,4402,Digital Marketing,1,This is the Digital Marketing course offered by department 4402.
118,199,Operating Systems,2,This is the Operating Systems course offered by department 199.
119,2629,World History,2,This is the World History course offered by department 2629.
120,582,Computer Networks,3,This is the Computer Networks course offered by department 582.
121,4496,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 4496.
122,1033,Database Systems,3,This is the Database Systems course offered by department 1033.
123,953,Algorithms,5,This is the Algorithms course offered by department 953.
124,2455,Computer Networks,1,This is the Computer Networks course offered by department 2455.
125,3189,Introduction to Programming,5,This is the Introduction to Programming course offered by department 3189.
126,4400,Linear Algebra,4,This is the Linear Algebra course offered by department 4400.
127,3688,Organic Chemistry,4,This is the Organic Chemistry course offered by department 3688.
128,1856,Computer Networks,1,This is the Computer Networks course offered by department 1856.
129,4883,Operating Systems,2,This is the Operating Systems course offered by department 4883.
130,2773,Operating Systems,2,This is the Operating Systems course offered by department 2773.
131,2981,Financial Accounting,1,This is the Financial Accounting course offered by department 2981.
132,216,World History,1,This is the World History course offered by department 216.
133,4149,Machine Learning,3,This is the Machine Learning course offered by department 4149.
134,3060,Computer Networks,5,This is the Computer Networks course offered by department 3060.
135,4375,Algorithms,1,This is the Algorithms course offered by department 4375.
136,3282,Digital Marketing,1,This is the Digital Marketing course offered by department 3282.
137,3883,Physical Chemistry,1,This is the Physical Chemistry course offered by department 3883.
138,3571,Database Systems,3,This is the Database Systems course offered by department 3571.
139,2185,Algorithms,1,This is the Algorithms course offered by department 2185.
140,4598,Calculus,5,This is the Calculus course offered by department 4598.
141,1240,Data Structures,3,This is the Data Structures course offered by department 1240.
142,149,Financial Accounting,4,This is the Financial Accounting course offered by department 149.
143,1035,Organic Chemistry,5,This is the Organic Chemistry course offered by department 1035.
144,4054,Digital Marketing,1,This is the Digital Marketing course offered by department 4054.
145,28,Software Engineering,1,This is the Software Engineering course offered by department 28.
146,1030,English Literature,5,This is the English Literature course offered by department 1030.
147,4004,Macroeconomics,3,This is the Macroeconomics course offered by department 4004.
148,4400,Financial Accounting,4,This is the Financial Accounting course offered by department 4400.
149,827,Microeconomics,3,This is the Microeconomics course offered by department 827.
150,931,Introduction to Programming,2,This is the Introduction to Programming course offered by department 931.
151,4858,Computer Networks,5,This is the Computer Networks course offered by department 4858.
152,3143,Linear Algebra,4,This is the Linear Algebra course offered by department 3143.
153,2466,Linear Algebra,2,This is the Linear Algebra course offered by department 2466.
154,95,Cyber Security,1,This is the Cyber Security course offered by department 95.
155,4840,Algorithms,1,This is the Algorithms course offered by department 4840.
156,2266,Financial Accounting,4,This is the Financial Accounting course offered by department 2266.
157,4406,Calculus,2,This is the Calculus course offered by department 4406.
158,3971,Macroeconomics,5,This is the Macroeconomics course offered by department 3971.
159,2181,Database Systems,5,This is the Database Systems course offered by department 2181.
160,938,Microeconomics,4,This is the Microeconomics course offered by department 938.
161,3251,Physical Chemistry,1,This is the Physical Chemistry course offered by department 3251.
162,2156,Operating Systems,4,This is the Operating Systems course offered by department 2156.
163,4271,Operating Systems,1,This is the Operating Systems course offered by department 4271.
