section_id,course_id,semester,year,instructor_id,classroom,schedule
1,854,Winter,2021,660,323-U,14:00-15:00
2,281,Winter,2024,97,469-E,8:00-9:00
3,737,Summer,2019,457,473-B,12:00-13:00
4,381,Spring,2020,19,475-C,13:00-14:00
5,635,Fall,2019,265,312-K,9:00-10:00
6,714,Fall,2022,207,415-Y,13:00-14:00
7,420,Winter,2016,141,221-I,16:00-17:00
8,205,Spring,2024,812,186-P,11:00-12:00
9,1,Summer,2017,750,412-X,13:00-14:00
10,744,Summer,2018,167,417-J,12:00-13:00
11,71,Winter,2018,94,223-C,15:00-16:00
12,13,Winter,2017,549,393-Z,14:00-15:00
13,90,Spring,2022,826,494-Q,8:00-9:00
14,4,Winter,2018,762,116-Q,11:00-12:00
15,832,Summer,2025,42,157-X,15:00-16:00
16,846,Summer,2017,429,495-K,17:00-18:00
17,727,Summer,2019,520,452-H,17:00-18:00
18,494,Winter,2020,214,331-P,11:00-12:00
19,759,Winter,2015,334,254-P,15:00-16:00
20,390,Winter,2025,476,380-J,14:00-15:00
21,576,Winter,2021,817,343-L,11:00-12:00
22,334,Summer,2016,243,298-T,17:00-18:00
23,829,Summer,2016,363,235-G,14:00-15:00
24,492,Fall,2025,657,139-P,14:00-15:00
25,530,Summer,2015,440,259-Q,15:00-16:00
26,995,Spring,2022,642,390-A,16:00-17:00
27,970,Winter,2023,853,169-D,9:00-10:00
28,63,Summer,2017,652,463-S,8:00-9:00
29,562,Winter,2023,410,339-C,12:00-13:00
30,308,Winter,2023,561,172-D,10:00-11:00
31,104,Summer,2016,317,271-E,9:00-10:00
32,593,Spring,2020,524,472-M,15:00-16:00
33,891,Winter,2015,286,214-O,11:00-12:00
34,675,Spring,2024,363,383-G,15:00-16:00
35,319,Spring,2018,705,330-K,17:00-18:00
36,133,Fall,2025,514,428-A,8:00-9:00
37,6,Fall,2020,6,401-C,13:00-14:00
38,997,Spring,2023,95,398-S,11:00-12:00
39,521,Spring,2022,559,327-E,10:00-11:00
40,888,Summer,2020,392,466-S,15:00-16:00
41,829,Summer,2016,987,241-I,11:00-12:00
42,146,Spring,2025,981,289-X,12:00-13:00
43,304,Fall,2025,340,170-G,8:00-9:00
44,41,Summer,2025,606,217-U,14:00-15:00
45,267,Fall,2020,793,464-O,10:00-11:00
46,127,Spring,2016,503,470-J,17:00-18:00
47,570,Spring,2019,710,201-K,10:00-11:00
48,135,Winter,2016,275,417-F,16:00-17:00
49,441,Winter,2019,979,238-E,13:00-14:00
50,385,Summer,2020,17,415-F,12:00-13:00
51,310,Spring,2021,4,298-D,16:00-17:00
52,305,Summer,2021,959,426-U,16:00-17:00
53,615,Winter,2015,141,401-S,12:00-13:00
54,526,Summer,2020,822,216-Q,12:00-13:00
55,67,Fall,2016,163,137-L,10:00-11:00
56,59,Summer,2018,167,264-R,8:00-9:00
57,222,Fall,2023,632,182-Z,17:00-18:00
58,836,Fall,2016,417,140-H,12:00-13:00
59,886,Winter,2016,784,408-O,17:00-18:00
60,397,Winter,2019,834,288-H,12:00-13:00
61,705,Summer,2018,21,442-E,16:00-17:00
62,223,Spring,2021,767,208-L,14:00-15:00
63,265,Spring,2015,577,219-L,15:00-16:00
64,224,Fall,2016,654,441-S,9:00-10:00
65,116,Winter,2021,241,297-W,10:00-11:00
